teamId, playerId, firstName, lastName, displayName, shortName
150,4433135, Jeremy, Jeremy, Jeremy Roach, J. Roach
150,4712846, Jaden, Jaden, Jaden Schutt, J. Schutt
150,4869739, Sean, Sean, Sean Stewart, S. Stewart
150,4397232, Ryan, Ryan, Ryan Young, R. Young
261,4898006, Sam, Sam, Sam Alamutu, S. Alamutu
261,4701259, Ileri, Ileri, Ileri Ayo-Faleye, I. Ayo-Faleye
261,4895789, Noah, Noah, Noah Barnett, N. Barnett
261,4705380, Shamir, Shamir, Shamir Bogues, S. Bogues
261,4431940, Aaron, Aaron, Aaron Deloney, A. Deloney
261,4592946, Nick, Nick, Nick Fiorillo, N. Fiorillo
261,5107295, TJ, TJ, TJ Hurley, T. Hurley
261,5174853, Seth, Seth, Seth Joba, S. Joba
261,4896370, TJ, TJ, TJ Long, T. Long
261,4592891, Brenton, Brenton, Brenton Mills, B. Mills
261,5174854, Charlie, Charlie, Charlie Moore, C. Moore
261,5174855, Michael, Michael, Michael Mora, M. Mora
261,4898007, Michel, Michel, Michel Ndayishimiye, M. Ndayishimiye
261,5107297, Jorge, Jorge, Jorge Ochoa, J. Ochoa
261,4702611, Jace, Jace, Jace Roquemore, J. Roquemore
261,4870563, Jackson, Jackson, Jackson Skipper, J. Skipper
261,5107296, Perry, Perry, Perry Smith Jr., P. Smith Jr.
261,4397404, Matt, Matt, Matt Veretto, M. Veretto
333,4432737, Jaden, Jaden, Jaden Bradley, J. Bradley
333,4433138, Nimari, Nimari, Nimari Burnett, N. Burnett
333,5132733, Davin, Davin, Davin Cosby Jr., D. Cosby Jr.
333,4895780, Mouhamed, Mouhamed, Mouhamed Dioubate, M. Dioubate
333,4683682, Rylan, Rylan, Rylan Griffen, R. Griffen
333,5174588, Ward, Ward, Ward Harrell, W. Harrell
333,4702175, Delaney, Delaney, Delaney Heard, D. Heard
333,4702670, Grant, Grant, Grant Nelson, G. Nelson
333,4848623, Kris, Kris, Kris Parker, K. Parker
333,4703887, Nick, Nick, Nick Pringle, N. Pringle
333,4397132, Jahvon, Jahvon, Jahvon Quinerly, J. Quinerly
333,5105513, Max, Max, Max Scharnowski, M. Scharnowski
333,4703530, Mark, Mark, Mark Sears, M. Sears
333,5105514, Kai, Kai, Kai Spears, K. Spears
333,4873181, Jarin, Jarin, Jarin Stevenson, J. Stevenson
333,5106293, Mohamed, Mohamed, Mohamed Wague, M. Wague
333,4683781, Sam, Sam, Sam Walters, S. Walters
333,4702484, Latrell, Latrell, Latrell Wrightsell Jr., L. Wrightsell Jr.
232,5105761, Ante, Ante, Ante Brzovic, A. Brzovic
232,4896997, Ben, Ben, Ben Burnham, B. Burnham
232,5174945, Bryce, Bryce, Bryce Butler, B. Butler
232,4897002, Adam, Adam, Adam Comer, A. Comer
232,5105758, Jordan, Jordan, Jordan Crawford, J. Crawford
232,4897000, Babacar, Babacar, Babacar Faye, B. Faye
232,4897901, CJ, CJ, CJ Fulton, C. Fulton
232,4896996, Raekwon, Raekwon, Raekwon Horton, R. Horton
232,5105759, Evan, Evan, Evan Kilminster, E. Kilminster
232,4896999, Charles, Charles, Charles Lampten, C. Lampten
